WASTE CODE GROUP,2021,2023,delta,pct_change,share_2021,share_2023
F039,24203067.2232553,24171792.2792493,-31274.944005999714,-0.12921892798756293,29.45907438279586,34.96055681175795
TCORICR,11598115.5892751,9655299.8647134,-1942815.7245616987,-16.751132626736716,14.116795474435945,13.964817153614687
D018,9710109.4387651,8491696.9373174,-1218412.5014477,-12.547876098939764,11.818784519460403,12.281855220978917
D002,12525348.558447301,5229602.055584,-7295746.502863301,-58.2478520962431,15.245389001738088,7.563766792919367
KXXX,4357173.5540312,4508684.6820209995,151511.12798979972,3.477280078724971,5.303389799439312,6.521077343007573
TCMT,3613597.3797555002,2690875.6084035,-922721.7713520001,-25.534714423952575,4.398336500813784,3.8919128748977467
F1_5,1476921.4730779,1942294.09788,465372.6248021,31.50963902178664,1.7976539556583682,2.8092117609486906
K013,1895215.1239999998,1589250.0555,-305965.0684999998,-16.144081198246067,2.306785449724764,2.2985911103122705
K061,1447114.0567101,1435139.7931917,-11974.263518400025,-0.8274581718612126,1.7613734756746466,2.07569574043399
DMIX,1834269.9065331,1406260.2086607,-428009.69787240005,-23.33406312495028,2.2326051948805357,2.033926129640059
K011,1710244.1014999999,1275752.995,-434491.10649999976,-25.40521005854788,2.0816455920271575,1.8451687216324624
D008,1218738.5085389,934100.2597472,-284638.2487917,-23.355153447390624,1.4834032416241918,1.3510237396340912
F005,954370.1666162,844161.6421534,-110208.52446280001,-11.547775519173408,1.161623915999126,1.2209421919509968
D007,674758.3692099,514471.4467151,-160286.9224948,-23.754714251634404,0.8212908225891763,0.7440990735449573
D001,421858.2131228,438188.8573994,16330.644276599982,3.8711215684797504,0.5134701467687125,0.6337687444278663
D011,428371.52458850003,430740.2089047,2368.6843161999714,0.5529509269962246,0.5213979075428515,0.6229954887312532
D040,280362.4403536,359986.64397840004,79624.20362480002,28.40045318637404,0.3412467481221998,0.5206619919982118
ICR,243760.0050751,349878.54765140003,106118.54257630004,43.534025421276965,0.29669562352652235,0.5060422785811735
U043,5.105764,349672.2228286,349667.1170646,6848477.858839539,6.214546283310743e-06,0.5057438633620682
F003,279470.3327658,246963.4855833,-32506.8471825,-11.631591396765963,0.34016090790434483,0.35719241951192493
FMIX,208584.42438510002,234589.5611934,26005.136808299983,12.467439448061505,0.25388121333436764,0.33929555519918353
F6_9,287223.72416790004,179478.75800180002,-107744.96616610003,-37.51255801666175,0.3495980479133571,0.2595867630805471
TCOR Only,196133.4494458,155112.063346,-41021.3860998,-20.915038314836732,0.23872634913919094,0.2243443117559856
UMIX,146055.6790523,150896.8154806,4841.1364283,3.314582808222386,0.1777735471931131,0.2182476429293025
LABP,1486.8079112,137726.08651239998,136239.27860119997,9163.206462309008,0.001809687360901321,0.19919833069686582
K062,154729.6349616,120638.6854927,-34090.94946890001,-22.032592190475032,0.18833116412521994,0.1744841908758254
D006,94040.1826637,118720.76859230001,24680.585928600005,26.244723510226482,0.11446221714410622,0.17171023675682423
K069,85367.90797500001,112163.141,26795.233024999994,31.38794619735437,0.10390664653126347,0.16222569753265725
F006,238394.6800516,102772.6117821,-135622.0682695,-56.88972096195474,0.2901651492069992,0.14864382795417758
K001,22237.1801881,80093.0047316,57855.8245435,260.1760837215366,0.027066269707974783,0.11584147380528714
U_PS,10217.3884466,72548.7201689,62331.331722300005,610.0515023782007,0.012436225684532261,0.1049298961278319
F001,418699.3692912,70730.0255749,-347969.3437163,-83.10720513034539,0.509625319394547,0.10229945089885492
D003,32178.9897145,63946.514971799996,31767.525257299996,98.72132574437352,0.03916707096742831,0.09248820872520648
U080,43234.869644000006,56304.162465,13069.292820999995,30.228593097686623,0.052623877338542235,0.08143479175459864
K022,71409.3020375,43339.3664,-28069.935637500006,-39.308514208358055,0.0869167498871785,0.0626833278934602
K171,43894.25354,43283.3318501,-610.9216898999948,-1.391803346976327,0.05342645492343682,0.06260228305232601
D004,24450.2171551,40883.6126942,16433.395539099998,67.2116547466827,0.029759896099264927,0.05913148051882388
KPET,29572.244,31182.7858197,1610.5418197,5.446126508695113,0.035994236913292205,0.04510081596780787
K088,33828.322,29881.2495,-3947.0724999999984,-11.667952374344782,0.04117457695963603,0.043218355870444695
F037,27539.3842582,26653.9006756,-885.483582599998,-3.215335442136258,0.03351991554769536,0.03855052194967842
F002,164949.2525364,25601.1093278,-139348.1432086,-84.47940264406442,0.20077010302179454,0.037027830901349076
K019,34718.5715,24443.8878873,-10274.683612699999,-29.59420036247747,0.042258155582040866,0.03535409874913644
K170,46998.1923,19143.0368851,-27855.155414900004,-59.26856768680442,0.05720445388394149,0.027687281970631812
D043,11241.338690100001,18125.9428277,6884.604137599999,61.24363234125414,0.013682539885509444,0.02621622123314734
F034,11771.973389,17012.5040129,5240.5306239,44.51701045125426,0.014328408730180821,0.024605813511141182
D010,15400.757707499999,16791.950704799998,1391.1929972999988,9.033276308363082,0.01874523020870401,0.02428681910771539
K038,11460.2575,13390.04,1929.7825000000012,16.838910469507347,0.01394899972901393,0.01936650988572246
F20S,13827.1585,12738.8095001,-1088.3489998999994,-7.871096580689368,0.016829903705875077,0.018424611137533707
F007,7159.9405425,11673.3948957,4513.454353199999,63.03759544383114,0.00871481366689085,0.016883662606498276
U162,407.5835117,11253.4297224,10845.8462107,2661.0120133326286,0.0004960955104415277,0.016276251450118337
D016,6945.0464616,10419.706425,3474.6599634000004,50.030766282296526,0.008453252574023538,0.015070406622092863
D005,30726.6744263,10143.5963235,-20583.0781028,-66.98765319419743,0.03739936674598786,0.014671058374421642
K086,9312.84282,10102.722894999999,789.8800749999991,8.481621458312114,0.011335246347870396,0.0146119416236794
D009,21460.070075300002,10079.1897705,-11380.880304800003,-53.03281985970357,0.02612040014502115,0.014577904795688506
