STATE NAME,WASTE CODE GROUP,2021,2023,delta,pct_change
ALABAMA,P014,0.001,0.0,-0.001,-100.0
ALABAMA,P016,0.0045,0.0,-0.0045,-100.0
ALABAMA,P017,0.0,0.0025,0.0025,
ALABAMA,P020,17.34,6.52,-10.82,-62.399077277970015
ALABAMA,P022,0.0,0.008,0.008,
ALABAMA,P023,0.0,0.0,0.0,
ALABAMA,P024,0.0,0.0,0.0,
ALABAMA,P028,0.115,4.7725,4.6575,4049.999999999999
ALABAMA,P029,0.0,0.0005,0.0005,
ALABAMA,P030,5e-05,0.07200000000000001,0.07195000000000001,143900.00000000003
ALABAMA,P039,0.0,0.0,0.0,
ALABAMA,P042,0.0035,0.0045000000000000005,0.0010000000000000005,28.571428571428587
ALABAMA,P044,0.0,0.0,0.0,
ALABAMA,P048,0.0,0.003,0.003,
ALABAMA,P051,0.0,0.0,0.0,
ALABAMA,P054,0.0,0.0,0.0,
ALABAMA,P063,0.0,0.2725,0.2725,
ALABAMA,P064,0.0,0.0,0.0,
ALABAMA,P066,0.0,0.0,0.0,
ALABAMA,P067,0.0,0.0005,0.0005,
ALABAMA,P068,0.0,0.0,0.0,
ALABAMA,P069,0.0145,0.0,-0.0145,-100.0
ALABAMA,P070,0.2,0.0,-0.2,-100.0
ALABAMA,P075,0.4465,0.004,-0.4425,-99.10414333706606
ALABAMA,P076,0.0,0.4575,0.4575,
ALABAMA,P077,0.0,0.0,0.0,
ALABAMA,P078,0.0,0.15750000000000003,0.15750000000000003,
ALABAMA,P081,95.9135,506.387,410.4735,427.96217425075713
ALABAMA,P082,0.0,0.0,0.0,
ALABAMA,P087,0.0075,0.0085,0.0010000000000000009,13.333333333333346
ALABAMA,P088,0.0,0.0,0.0,
ALABAMA,P093,0.0,0.0,0.0,
ALABAMA,P094,140.97199999999998,443.27500000000003,302.30300000000005,214.44187498226603
ALABAMA,P095,0.0,0.075,0.075,
ALABAMA,P098,0.01055,0.0135,0.0029499999999999995,27.962085308056867
ALABAMA,P102,0.006,0.0035,-0.0025,-41.66666666666667
ALABAMA,P105,0.74965,0.358,-0.39165000000000005,-52.24438071099847
ALABAMA,P106,0.626721,0.0334011,-0.5933199,-94.67049931309147
ALABAMA,P118,0.0,0.0,0.0,
ALABAMA,P119,0.0,0.01,0.01,
ALABAMA,P120,0.0,0.0,0.0,
ALABAMA,P122,0.0,0.0,0.0,
ALABAMA,P123,0.0,0.0,0.0,
ALABAMA,P127,0.0,0.007,0.007,
ALABAMA,P188,0.0,0.0,0.0,
ALABAMA,P204,0.0,0.0,0.0,
ALABAMA,PMIX,0.0,0.043500000000000004,0.043500000000000004,
ALABAMA,TCMT,4060.3300415999997,4854.6873807,794.3573391000004,19.56386133544402
ALABAMA,TCOR Only,30.011,124.51050000000001,94.49950000000001,314.88287627869784
ALABAMA,TCORICR,1172.8804099,1077.6286381999998,-95.25177170000006,-8.121183617357993
ALABAMA,U001,0.0,0.0025,0.0025,
ALABAMA,U002,0.3515,0.1375,-0.21399999999999997,-60.88193456614509
ALABAMA,U003,0.498,1.1195,0.6214999999999999,124.79919678714859
ALABAMA,U006,0.0,0.003,0.003,
ALABAMA,U007,6.175000000000001,4.377,-1.798000000000001,-29.117408906882602
ALABAMA,U008,5.503,1.325,-4.178,-75.92222424132291
ALABAMA,U009,3.6315,0.385,-3.2465,-89.39832025333885
ALABAMA,U010,0.0,0.0,0.0,
ALABAMA,U012,0.0,0.0,0.0,
ALABAMA,U019,0.0,0.0,0.0,
ALABAMA,U022,0.0,0.0135,0.0135,
ALABAMA,U027,0.0,0.0,0.0,
ALABAMA,U028,0.0,0.0,0.0,
ALABAMA,U029,0.0,0.0,0.0,
ALABAMA,U031,0.0,0.0,0.0,
ALABAMA,U034,1.338,0.0,-1.338,-100.0
ALABAMA,U039,0.0065,0.0,-0.0065,-100.0
ALABAMA,U041,0.0,0.0,0.0,
ALABAMA,U042,0.0,0.0,0.0,
ALABAMA,U044,0.0,0.2438063,0.2438063,
ALABAMA,U046,0.0,0.003,0.003,
ALABAMA,U048,0.0215,0.0,-0.0215,-100.0
ALABAMA,U051,29.5901901,0.75,-28.8401901,-97.4653762025003
ALABAMA,U052,0.0,0.005,0.005,
ALABAMA,U053,0.0,0.006,0.006,
ALABAMA,U056,0.0,0.0255,0.0255,
ALABAMA,U057,0.0,0.026,0.026,
ALABAMA,U058,0.0,0.0,0.0,
ALABAMA,U068,0.0,0.0,0.0,
ALABAMA,U070,0.0,0.0,0.0,
ALABAMA,U072,0.0,0.0,0.0,
ALABAMA,U079,0.0,0.0,0.0,
ALABAMA,U080,0.1335,8.008000000000001,7.874500000000001,5898.501872659177
ALABAMA,U084,0.0,0.0,0.0,
ALABAMA,U085,0.0,0.0,0.0,
ALABAMA,U092,0.0,1.8355,1.8355,
ALABAMA,U096,0.0,0.0,0.0,
ALABAMA,U097,0.0,0.0025,0.0025,
ALABAMA,U098,0.0,0.0,0.0,
ALABAMA,U101,0.0,0.0,0.0,
ALABAMA,U103,0.002,0.0,-0.002,-100.0
ALABAMA,U105,0.0,0.0,0.0,
ALABAMA,U107,0.0,54.474,54.474,
ALABAMA,U108,0.0,0.001,0.001,
ALABAMA,U112,0.0,25.4825,25.4825,
ALABAMA,U115,0.0235,0.0,-0.0235,-100.0
ALABAMA,U117,0.0235,0.0125,-0.011,-46.80851063829787
ALABAMA,U118,0.0,0.0,0.0,
ALABAMA,U121,0.0,0.12,0.12,
ALABAMA,U122,23.3452727,249.9762647,226.630992,970.7789448953406
ALABAMA,U123,0.036849999999999994,0.319,0.28215,765.671641791045
ALABAMA,U125,0.0,0.0,0.0,
ALABAMA,U129,0.0,0.0,0.0,
ALABAMA,U131,0.0,0.002,0.002,
ALABAMA,U133,0.0026,0.0055,0.0029,111.53846153846155
ALABAMA,U134,0.1475,0.43879999999999997,0.2913,197.49152542372883
ALABAMA,U135,0.0,0.005,0.005,
ALABAMA,U138,0.0,0.007,0.007,
ALABAMA,U140,0.0,0.0,0.0,
ALABAMA,U144,0.0,0.0,0.0,
ALABAMA,U147,3.4800000000000004,0.9295,-2.5505000000000004,-73.29022988505749
ALABAMA,U148,0.0,0.0105,0.0105,
ALABAMA,U150,0.0,0.0,0.0,
ALABAMA,U151,0.0135,0.226,0.2125,1574.0740740740741
ALABAMA,U152,0.0,0.0,0.0,
ALABAMA,U154,17.649500000000003,0.186,-17.463500000000003,-98.94614578316666
ALABAMA,U158,0.0,0.0,0.0,
ALABAMA,U159,0.0305,0.662805,0.632305,2073.1311475409834
ALABAMA,U160,0.0,0.1035,0.1035,
ALABAMA,U161,0.0,0.0,0.0,
ALABAMA,U162,0.016,0.0075,-0.0085,-53.125
ALABAMA,U165,0.006,0.0795,0.0735,1224.9999999999998
ALABAMA,U166,0.0,0.0,0.0,
