REPORT CYCLE,STATE NAME,WASTE CODE GROUP,tons
2021,ALABAMA,U411,0.0
2021,ALABAMA,UMIX,61.322
2021,ALABAMA,U_PS,3.7935
2021,ALASKA,D001,64.611863
2021,ALASKA,D002,10.634
2021,ALASKA,D003,0.656
2021,ALASKA,D004,5.2635551
2021,ALASKA,D005,1.254
2021,ALASKA,D006,13.490499999999999
2021,ALASKA,D007,14.732
2021,ALASKA,D008,2079.999
2021,ALASKA,D009,1.1405566
2021,ALASKA,D010,3.2875
2021,ALASKA,D011,0.212
2021,ALASKA,D016,3.44
2021,ALASKA,D018,229.65529510000002
2021,ALASKA,D022,0.1645
2021,ALASKA,D035,0.1665
2021,ALASKA,DMIX,454.689
2021,ALASKA,F001,0.074
2021,ALASKA,F002,2154.0895
2021,ALASKA,F003,2.4385
2021,ALASKA,F005,11.2115
2021,ALASKA,F037,63.1
2021,ALASKA,F039,0.675
2021,ALASKA,F1_5,14.3849999
2021,ALASKA,ICR,8.3120482
2021,ALASKA,K048,11.8
2021,ALASKA,K050,8.3525
2021,ALASKA,K051,0.45
2021,ALASKA,LABP,0.0025
2021,ALASKA,P001,0.0035
2021,ALASKA,P030,0.875
2021,ALASKA,P081,0.0035
2021,ALASKA,P098,5e-05
2021,ALASKA,P105,0.0005
2021,ALASKA,PMIX,0.00075
2021,ALASKA,TCMT,93.367
2021,ALASKA,TCOR Only,0.20049999999999998
2021,ALASKA,TCORICR,138.1564999
2021,ALASKA,U002,0.10849999999999999
2021,ALASKA,U044,0.015
2021,ALASKA,U052,0.0225
2021,ALASKA,U129,0.001
2021,ALASKA,U133,0.019
2021,ALASKA,U134,0.0575
2021,ALASKA,U151,0.00125
2021,ALASKA,U154,0.0175
2021,ALASKA,U159,0.0075
2021,ALASKA,U162,0.0045
2021,ALASKA,U188,0.0075
2021,ALASKA,U205,0.015
2021,ALASKA,U220,0.0095
2021,ALASKA,UMIX,2.734
2021,ALASKA,U_PS,0.0045
2021,ARIZONA,D001,1152.7287494
2021,ARIZONA,D002,14942.3456169
2021,ARIZONA,D003,38.2550579
2021,ARIZONA,D004,176.63590000000002
2021,ARIZONA,D005,12.0107
2021,ARIZONA,D006,48.3405
2021,ARIZONA,D007,918.809741
2021,ARIZONA,D008,12177.098
2021,ARIZONA,D009,526.54275
2021,ARIZONA,D010,28.3506364
2021,ARIZONA,D011,10.011
2021,ARIZONA,D016,0.087
2021,ARIZONA,D018,1.642
2021,ARIZONA,D022,0.0035
2021,ARIZONA,D024,0.003
2021,ARIZONA,D028,0.0
2021,ARIZONA,D035,0.0
2021,ARIZONA,D039,4.7543
2021,ARIZONA,D040,0.0
2021,ARIZONA,DMIX,89.19395
2021,ARIZONA,F001,279.1065
2021,ARIZONA,F002,24.2255
2021,ARIZONA,F003,10975.01042
2021,ARIZONA,F004,0.1365
2021,ARIZONA,F005,21.489
2021,ARIZONA,F006,1960.107233
2021,ARIZONA,F007,35.886500000000005
2021,ARIZONA,F008,9.406
2021,ARIZONA,F009,1.131
2021,ARIZONA,F011,61.175
2021,ARIZONA,F019,18.21
2021,ARIZONA,F035,0.746
2021,ARIZONA,F039,0.0
2021,ARIZONA,F1_5,151974.72133620002
2021,ARIZONA,F6_9,3.064
2021,ARIZONA,FMIX,161.4005199
2021,ARIZONA,ICR,12496.097650000002
2021,ARIZONA,K044,0.7195
2021,ARIZONA,K061,7824.82
2021,ARIZONA,LABP,5.944
2021,ARIZONA,P001,0.005
2021,ARIZONA,P002,0.0
2021,ARIZONA,P005,0.016
2021,ARIZONA,P012,0.0655
2021,ARIZONA,P014,0.005
2021,ARIZONA,P022,0.0045
2021,ARIZONA,P030,0.666
2021,ARIZONA,P042,0.003
2021,ARIZONA,P056,0.034
2021,ARIZONA,P068,0.0025
2021,ARIZONA,P075,0.3965
2021,ARIZONA,P076,0.018
2021,ARIZONA,P087,0.0115
2021,ARIZONA,P098,1.8704999999999998
2021,ARIZONA,P105,0.0175
2021,ARIZONA,P106,0.002
2021,ARIZONA,P108,0.0
2021,ARIZONA,P120,11.34
2021,ARIZONA,P188,0.0
2021,ARIZONA,P198,4.795
2021,ARIZONA,P199,4.1125
2021,ARIZONA,PEST,0.0225
2021,ARIZONA,PMIX,4.79908
2021,ARIZONA,TCMT,1636.2446021
2021,ARIZONA,TCOR Only,13.3875
2021,ARIZONA,TCORICR,656.5586257
2021,ARIZONA,U001,0.006999999999999999
2021,ARIZONA,U002,1.003
2021,ARIZONA,U003,0.1405
2021,ARIZONA,U006,0.0
2021,ARIZONA,U007,0.0
2021,ARIZONA,U008,0.0
2021,ARIZONA,U010,0.0
2021,ARIZONA,U020,0.0
2021,ARIZONA,U022,0.93
2021,ARIZONA,U034,0.0
2021,ARIZONA,U043,0.0735
2021,ARIZONA,U044,0.047
2021,ARIZONA,U046,0.0045000000000000005
2021,ARIZONA,U051,0.0
2021,ARIZONA,U056,0.0
2021,ARIZONA,U057,9.1925
2021,ARIZONA,U061,0.0
2021,ARIZONA,U080,0.067
2021,ARIZONA,U096,0.022
2021,ARIZONA,U102,0.0
2021,ARIZONA,U112,0.0
2021,ARIZONA,U114,8.3145
2021,ARIZONA,U122,0.871
2021,ARIZONA,U123,12.448500000000001
2021,ARIZONA,U125,0.0
2021,ARIZONA,U133,0.0
2021,ARIZONA,U134,101.5845
2021,ARIZONA,U138,0.0185
2021,ARIZONA,U144,0.0
2021,ARIZONA,U151,1.0025
2021,ARIZONA,U154,7.5285
2021,ARIZONA,U159,0.0
2021,ARIZONA,U160,0.8039999999999999
2021,ARIZONA,U164,0.026
2021,ARIZONA,U165,0.032
2021,ARIZONA,U185,0.0
2021,ARIZONA,U188,0.1735
2021,ARIZONA,U197,0.0045
2021,ARIZONA,U210,0.0
2021,ARIZONA,U211,0.006
2021,ARIZONA,U213,0.0935
2021,ARIZONA,U214,0.0
2021,ARIZONA,U218,0.10300000000000001
2021,ARIZONA,U219,0.028499999999999998
2021,ARIZONA,U220,0.0175
2021,ARIZONA,U223,0.1135
2021,ARIZONA,U228,0.03
2021,ARIZONA,U239,0.44999999999999996
2021,ARIZONA,U240,0.039
2021,ARIZONA,U248,0.0
2021,ARIZONA,U279,0.0
2021,ARIZONA,U404,0.0
2021,ARIZONA,U409,46.722
2021,ARIZONA,UMIX,83.149
2021,ARIZONA,U_PS,22.046
2021,ARKANSAS,D001,2123.1454464
2021,ARKANSAS,D002,763.3733609
2021,ARKANSAS,D003,658.8014999999999
2021,ARKANSAS,D004,8.230500000000001
2021,ARKANSAS,D005,185.5565
2021,ARKANSAS,D006,71.3005
2021,ARKANSAS,D007,1303.0915424
2021,ARKANSAS,D008,2090.551615
2021,ARKANSAS,D009,29.983575
2021,ARKANSAS,D010,58.25961
2021,ARKANSAS,D011,15.50576
2021,ARKANSAS,D012,0.0
2021,ARKANSAS,D014,0.0
2021,ARKANSAS,D016,7.5595
2021,ARKANSAS,D017,0.0
2021,ARKANSAS,D018,297.7397878
2021,ARKANSAS,D019,0.0
2021,ARKANSAS,D020,23.927500000000002
2021,ARKANSAS,D021,8.017
2021,ARKANSAS,D022,0.0055
2021,ARKANSAS,D024,0.0
2021,ARKANSAS,D026,0.0
2021,ARKANSAS,D027,0.0
2021,ARKANSAS,D028,19.6305
2021,ARKANSAS,D030,0.0
2021,ARKANSAS,D032,0.0
2021,ARKANSAS,D034,0.0
2021,ARKANSAS,D035,12.1675
2021,ARKANSAS,D036,0.0
2021,ARKANSAS,D037,4.7345
2021,ARKANSAS,D038,0.0
2021,ARKANSAS,D039,5.34645
2021,ARKANSAS,D040,12.455
2021,ARKANSAS,D043,0.0
2021,ARKANSAS,DMIX,157.1739211
2021,ARKANSAS,F001,5.4668247999999995
2021,ARKANSAS,F002,899.1455
2021,ARKANSAS,F003,18352.446827300002
2021,ARKANSAS,F004,0.0
2021,ARKANSAS,F005,263.4231889
2021,ARKANSAS,F006,1238.6015
2021,ARKANSAS,F007,4.7435
2021,ARKANSAS,F008,2.863
2021,ARKANSAS,F009,8.6715
2021,ARKANSAS,F011,0.0
2021,ARKANSAS,F012,9.113
2021,ARKANSAS,F019,153.1685
2021,ARKANSAS,F024,4.2325
2021,ARKANSAS,F025,0.0
2021,ARKANSAS,F032,34.962
2021,ARKANSAS,F034,417.0234312
2021,ARKANSAS,F035,11.283999999999999
2021,ARKANSAS,F037,12.02
2021,ARKANSAS,F038,0.0
2021,ARKANSAS,F039,728294.6775142
2021,ARKANSAS,F1_5,6632.0992718
2021,ARKANSAS,F30S,42.623000000000005
2021,ARKANSAS,F6_9,1.625
2021,ARKANSAS,FMIX,1.2645
2021,ARKANSAS,ICR,228.0628572
2021,ARKANSAS,K001,0.506
2021,ARKANSAS,K011,0.0
2021,ARKANSAS,K015,0.0
2021,ARKANSAS,K017,0.0
2021,ARKANSAS,K019,0.0
2021,ARKANSAS,K022,0.0
2021,ARKANSAS,K027,0.0
2021,ARKANSAS,K039,3.7865
2021,ARKANSAS,K044,2.1035
2021,ARKANSAS,K046,71.58
2021,ARKANSAS,K048,0.0
2021,ARKANSAS,K050,1.0
2021,ARKANSAS,K051,0.0
2021,ARKANSAS,K061,142131.813
2021,ARKANSAS,K062,0.7875000000000001
2021,ARKANSAS,K083,0.0
2021,ARKANSAS,K086,0.0
2021,ARKANSAS,K088,1374.1495
2021,ARKANSAS,K094,0.0
2021,ARKANSAS,K111,0.0
